	Workload ID	Workload Name	Core Mask	Frequency A7	Frequency A15	Workload Duration	Number of Iterations	Samples Averaged	Status	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Temperature C4	Temperature C5	Temperature C6	Temperature C7	Average Temperature A15	Core 0 CycleCount	Core 0 Event 0x14	Core 0 Event 0x16	Core 0 Event 0x13	Core 0 Event 0x0f	Core 1 CycleCount	Core 1 Event 0x14	Core 1 Event 0x16	Core 1 Event 0x13	Core 1 Event 0x0f	Core 2 CycleCount	Core 2 Event 0x14	Core 2 Event 0x16	Core 2 Event 0x13	Core 2 Event 0x0f	Core 3 CycleCount	Core 3 Event 0x14	Core 3 Event 0x16	Core 3 Event 0x13	Core 3 Event 0x0f	Core 4 CycleCount	Core 4 Event 0x1b	Core 4 Event 0x50	Core 4 Event 0x6a	Core 4 Event 0x73	Core 4 Event 0x14	Core 4 Event 0x19	Core 5 CycleCount	Core 5 Event 0x1b	Core 5 Event 0x50	Core 5 Event 0x6a	Core 5 Event 0x73	Core 5 Event 0x14	Core 5 Event 0x19	Core 6 CycleCount	Core 6 Event 0x1b	Core 6 Event 0x50	Core 6 Event 0x6a	Core 6 Event 0x73	Core 6 Event 0x14	Core 6 Event 0x19	Core 7 CycleCount	Core 7 Event 0x1b	Core 7 Event 0x50	Core 7 Event 0x6a	Core 7 Event 0x73	Core 7 Event 0x14	Core 7 Event 0x19	Average Utilisation	Core 0 Utilisation	Core 1 Utilisation	Core 2 Utilisation	Core 3 Utilisation	Core 4 Utilisation	Core 5 Utilisation	Core 6 Utilisation	Core 7 Utilisation	A7 Average Utilisation	A15 Average Utilisation	Average A7 CycleCount	Average A7 Event 0x14	Average A7 Event 0x16	Average A7 Event 0x13	Average A7 Event 0x0f	Average A15 CycleCount	Average A15 Event 0x1b	Average A15 Event 0x50	Average A15 Event 0x6a	Average A15 Event 0x73	Average A15 Event 0x14	Average A15 Event 0x19
10	10	dijkstra	4,5,6,7	1000	200	30.289726	-1	139		1.09375	0.913956834532	0.090050618705	0.147866244604	1.21053057554	0.0198632877698	0.993785971223	0.102284928058	50.4388489209	49.3956834532	53.0071942446	50.0	50.7104316547	21045294.2312	3901875.10876	349535.268104	2764778.55117	29.0139743035	6780347.9137	1160931.97762	110639.627165	807622.487748	40.9730476159	2489988.09504	348603.224213	38385.6601207	251464.15594	16.1215721432	1888347.11072	256565.621673	27167.9108449	185734.295282	6.27366266835	76808752.3519	80119649.7037	570620.247794	133095.429819	37236647.8651	9257308.575	21111.6323751	76807850.9115	80798462.1743	550681.789385	129764.734495	37533458.1486	9440326.0148	21545.7272104	33356254.4121	34059737.3174	254936.954576	59369.4680114	15866734.044	4252808.95336	12551.4137703	18757910.2083	13578009.1508	271873.332618	88956.4442137	6910162.39155	5050171.25579	38415.9480702	12.4988334975	0.731466706674	0.205561569189	0.0529273936696	0.0667682907937	39.0375374561	35.9411656261	16.7040104821	7.17741356994	0.264180990082	24.7150317835	8050994.33766	1416993.98307	131432.116559	1002399.87253	23.0955641827	51432691.9709	52138964.5866	412028.081093	102796.519135	24386750.6123	7000153.69974	23406.1803565
11	11	patricia	4,5,6,7	1000	200	30.28876	-1	141		1.09378546099	0.914432624113	0.0922274822695	0.154383879433	1.21086879433	0.0236043191489	0.993732269504	0.102279730496	50.5460992908	49.3191489362	53.0141843972	50.0	50.719858156	46978519.5395	9729671.93489	813707.075648	7119995.36034	17.6217895363	6504411.60727	1188305.57251	106701.872656	818522.336542	38.0617977196	4774240.3103	794567.627137	76757.4005905	567868.39156	26.0536034487	3846577.39053	610072.301934	61725.1315871	432149.700219	25.7503473433	111688292.695	125021901.727	1736987.6686	579961.929052	70178707.5291	37093401.3002	270518.1947	55760290.9708	60382101.0156	873453.50505	286718.986434	33695857.9662	18047380.1002	98792.5822014	10876740.7241	10493496.8177	163895.522647	52732.8640644	5838007.24928	3238252.4267	26465.8304758	14496136.3551	9188753.4314	240836.122687	77539.4478321	4830669.0668	4126926.63976	86784.4116709	11.7867650023	1.14717967242	0.269724128767	0.197035835912	0.131642445678	54.7548395531	27.4714610785	4.19895453234	5.80808370053	0.436395520694	23.0583347161	15525937.2119	3080654.35912	264722.87012	2234633.94716	26.871884512	48205365.1863	51271563.2478	753793.204745	249238.306846	28635810.4528	15626490.1167	120640.254762
12	12	stringsearch	4,5,6,7	1000	200	30.292291	-1	141		1.09375	0.914884751773	0.096804141844	0.137783893617	1.21104609929	0.0279783829787	0.993732269504	0.102277539007	50.2411347518	49.1560283688	53.0	50.0	50.5992907801	76153751.0093	13317387.2704	1219889.00195	9704013.85785	82.3460065273	47922819.0319	6425210.40371	650566.203146	4732520.67656	220.46981301	11172485.6163	1039045.3252	127043.276776	781071.690925	94.2735245853	9673805.38071	818773.922338	100197.77729	615522.918015	85.7958716665	31183851.0793	22943528.1509	508713.387499	117943.336327	11513077.1848	8084201.46164	142081.516533	51839787.1513	42813031.4994	786970.245083	178705.301136	21244639.1964	14023353.1035	256884.623609	31578479.9374	23362416.2051	509033.066228	117784.438251	11716554.7877	8183182.18059	134313.242939	40782092.3676	29208962.7126	675788.611749	174164.908608	14823669.4456	10995828.5521	176655.870117	9.11321016638	2.11997096757	2.41744523779	0.421517421903	0.420487507188	13.7799044124	23.7054926284	12.6837785824	17.4404727396	1.34485528361	16.9024120907	36230715.2596	5400104.2304	524424.064791	3958282.28584	120.721303947	38846052.6339	29581984.642	620126.32764	147149.496081	14824485.1536	10321641.3245	177483.8133
13	13	blowfish-encode-small	4,5,6,7	1000	200	30.285602	-1	141		1.09375	0.914494680851	0.089781035461	0.140609453901	1.21118794326	0.020483106383	0.993758865248	0.102280460993	50.134751773	49.0567375887	53.0	49.8368794326	50.5070921986	19801319.9452	3680783.26022	325481.596912	2613755.38892	17.8214112705	7928656.84463	1345820.54236	126983.066933	931089.228568	50.9927813011	1876463.07926	278041.930408	29509.1623014	196739.447927	15.0991378829	2318301.76024	330749.790265	36637.6811187	238017.828833	14.2885610603	85514466.5518	34195141.9702	180061.666523	35555.5975107	15996090.0638	8242590.0034	54939.6313756	61489868.4198	25346438.1395	159931.599908	37721.1612777	11948783.2336	6395884.31643	41680.2515323	43368155.6725	17465262.8041	112755.878929	23682.1054708	8222603.80558	4364290.09792	26754.9733276	20412991.8259	11772300.8731	257472.4069	83584.3904341	6066908.40312	4830064.27896	48819.9745405	12.7422204994	0.355942862001	0.294998477536	0.0394624756658	0.0395843641762	42.0416848591	29.6468274395	20.8446105182	8.46638738261	0.182497044845	25.2498775498	7981185.40734	1408848.88081	129652.876816	994900.473563	24.5504728787	52696370.6175	22194785.9467	177555.388065	45135.8136733	10558596.3765	5958207.17418	43048.707694
14	14	sha	4,5,6,7	1000	200	30.287202	-1	140		1.09375	0.913883928571	0.0902896071429	0.164102057143	1.21123214286	0.0236574642857	0.993785714286	0.102284885714	50.3071428571	49.2785714286	53.1071428571	49.9785714286	50.6678571429	20212753.9931	3533890.8111	336276.627041	2537137.35351	5.18708308954	13618381.3919	2139537.2364	197446.128218	1490087.50675	54.8105406864	2974126.85343	345687.328391	39364.5768486	251065.492185	18.106501679	2583655.93434	276923.838579	32008.4182349	202685.742377	5.31733752021	65175505.5473	110011383.728	322200.441541	109249.864353	79171345.7302	22347147.9032	253234.582717	61396486.3587	103477699.44	301477.489307	101745.988831	74501551.5441	20997090.9395	235730.235528	56348894.6412	94163705.306	287174.64306	95265.6811833	67740726.9683	19195739.4987	219837.883699	31004281.253	35021365.1957	361974.801251	109780.728143	23267087.6938	9560279.09031	198014.148634	12.936679211	0.502091028639	0.466053543929	0.0662913744309	0.0332225913621	32.0418251107	29.487807882	27.0753582881	13.9832397201	0.26691463459	25.6470577502	9847229.54318	1574009.80362	151273.937586	1120244.02371	20.8553657438	53481291.9501	85668538.4174	318206.84379	104010.565628	61170177.9841	18025064.3579	226704.212645
15	15	adpcm-encode-small	4,5,6,7	1000	200	30.289798	-1	141		1.09375	0.91414893617	0.0913158865248	0.150074177305	1.21124113475	0.026092177305	0.993794326241	0.102286304965	50.1418439716	49.4184397163	53.0070921986	49.9007092199	50.6170212766	32086747.2537	5450525.59467	480148.757217	3870184.18876	57.1892189875	8913878.80251	1310057.99479	132074.213456	926304.426895	64.0528528569	4727587.09535	516341.72608	61054.1998096	380551.077418	50.655245389	13917858.2957	1779643.81713	184650.560471	1307803.77968	79.0441096082	37645392.806	40702040.6719	460252.829966	121187.199602	29509420.6997	12700734.1795	170103.370263	101842410.027	119542977.591	1232341.53833	327550.862605	87761785.9314	36586303.2081	401284.221866	27836602.8015	28218673.2743	346679.313012	94495.2865204	20059050.0936	9026371.65088	120427.83384	24032030.354	17642517.5746	360394.623627	107206.35823	10834229.8062	6857487.61558	143467.479178	11.2472514515	1.02588695074	0.402587234691	0.23559906167	0.625057812197	16.8883811035	49.4364170269	11.7115575728	9.71218367799	0.572282764823	21.9371348453	14911517.8618	2264142.28317	214481.932738	1621210.86819	62.7353567104	47839108.997	51526552.2779	599917.076233	162609.92674	37041121.6327	16292724.1635	208820.726287
16	16	adpmc-decode-small	4,5,6,7	1000	200	30.286426	-1	137		1.09375	0.914908759124	0.0992156788321	0.128246182482	1.21111313869	0.0252608905109	0.993886861314	0.102301554745	50.0218978102	49.0948905109	53.0	49.4452554745	50.3905109489	125645289.32	26140241.3249	2166559.45486	19190972.6046	53.0915100027	18126743.3056	3565904.18008	296966.452459	2563609.95008	24.6400404442	16637560.7564	2709045.92633	244809.945523	1935089.14572	79.2866931847	7278088.73595	1032551.96667	100861.864202	730002.662215	61.0341781697	10465017.8642	7367014.69432	138503.846652	35908.42029	4641405.19744	2761815.92565	86998.2670851	82863372.7495	76501897.4683	1185074.42499	306242.351573	50390405.3576	27424840.319	557183.51266	7474036.57842	4499457.0456	93069.6814384	28801.8557891	2619435.3335	1784991.92219	38020.5362977	16205510.4885	9534749.31322	254409.332931	80804.2148573	5016028.84396	4271561.17519	100666.443597	7.26311574015	3.16541787899	0.43217429876	0.693423575557	0.365113427132	3.4721615052	41.3807742633	2.35505459782	5.97584115813	1.16403229511	13.2959578811	41921920.5294	8361935.84951	702299.429261	6104918.59064	54.5131054503	29251984.4201	24475779.6304	417764.321502	112939.210627	15666818.6831	9060802.3355	195717.18991
17	17	crc32-small	4,5,6,7	1000	200	30.288824	-1	140		1.09375	0.914991071429	0.0894386285714	0.139940557143	1.21082142857	0.0200105071429	0.993821428571	0.1022624	50.0142857143	49.0	53.0	49.4428571429	50.3642857143	17874801.7581	3352301.28566	307984.781805	2392519.09012	31.4843299807	7038235.56488	1250740.296	118568.345398	866528.361463	17.2154373209	2565111.30253	396076.34038	41946.1495302	282064.751927	13.2301233043	1170615.21742	166392.881135	17829.6801361	119706.385056	9.63499882923	88242801.404	31293305.3337	122611.410032	865757.270255	13754398.7418	7221959.70091	45219.8435108	70224565.7591	24927370.2489	100736.920167	686593.442827	10965224.8716	5773850.28268	37235.1069935	39993868.2582	14335008.4667	76577.3553622	384049.962177	6361011.96195	3451677.61923	23709.7350585	17805750.4572	11021463.9628	264548.239004	106955.309561	5720281.48714	4754059.09431	61105.2969886	13.1621891182	0.468355212739	0.230298145531	0.0662913744309	0.0	43.6028630434	34.4178104135	19.3590355724	6.97865609512	0.191236183175	26.0895912811	7162190.96073	1291377.70079	121582.239218	915204.647143	17.8912223588	54066746.4696	20394287.003	141118.481141	510838.996205	9200229.26563	5300386.67428	41817.4956378
18	18	fft	4,5,6,7	1000	200	30.287552	-1	140		1.09375	0.914660714286	0.0918276142857	0.158339242857	1.21088392857	0.0206165928571	0.99375	0.102279	50.5071428571	49.1857142857	53.0	49.8642857143	50.6392857143	39619732.3956	8118804.75675	696342.537062	5920869.20566	31.16780351	11187601.3553	2234422.4947	194190.730176	1601380.81025	13.315896889	4596953.51594	902024.76227	75867.8677043	623597.886185	20.4339762187	4473232.20258	696017.00799	68406.1074445	501437.357964	24.3690488477	112004058.81	153283042.923	355755.864992	910025.197371	81008049.9529	44634719.1303	120685.083484	64168115.1196	62603547.7896	125833.089049	456864.085218	27559557.9836	22014310.1323	33674.7802469	6709492.36031	4753539.0623	57314.2374345	38832.8418726	2152587.71406	1918070.75342	17074.9075002	14317375.3278	9178605.91523	234968.261144	77670.0858568	4826861.87293	4121385.38153	54428.9545666	11.9599058672	0.631597258277	0.207170640594	0.1307965528	0.132428940568	56.0418770432	31.2418521963	1.71631555049	5.17667506348	0.27549834806	23.5441799634	14969379.8674	2987817.25543	258701.810596	2161821.31501	22.3216813663	49299760.4045	57454683.9226	193467.863155	370848.05258	28886764.3809	18172121.3494	56465.9314496
19	19	inv-fft	4,5,6,7	1000	200	30.289906	-1	140		1.09375	0.914535714286	0.0906253142857	0.156349142857	1.21097321429	0.0208254571429	0.993767857143	0.102281942857	50.4357142857	49.2	53.0	49.5642857143	50.55	27882502.6337	5397647.32239	467450.94605	3879905.79721	33.08759706	6952935.75217	1219433.22879	115009.67059	848138.960999	20.104889905	2731462.33379	411760.47923	44758.972651	294173.070136	18.5532838918	2721520.02194	395006.915365	44094.0349591	286770.936157	25.801247582	98445067.0969	106214221.249	359408.160922	492759.906601	49117896.2745	34227473.2296	130660.246038	69700630.7896	65284996.1571	164608.998596	425507.196492	27870298.6319	23237885.0388	47191.1369367	18961040.3553	15517746.1888	63301.0345063	120113.699633	6356097.18256	5926457.49543	18575.1327282	18214680.2036	12335638.7097	253531.839728	103951.236947	6140363.62643	5363079.08626	61916.0018986	12.532637333	0.648077479824	0.265483918313	0.0333778371161	0.0984581866935	47.8989126547	34.8710577621	9.45237852035	6.84189974915	0.261349355487	24.7660621716	10072105.1854	1855961.98644	167828.406062	1327247.19112	24.3867546097	51330354.6114	49838150.5761	210212.508438	285583.009918	22371163.9288	17188723.7125	64585.6294004
