	Workload ID	Workload Name	Core Mask	Frequency A7	Frequency A15	Workload Duration	Number of Iterations	Samples Averaged	Status	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Temperature C4	Temperature C5	Temperature C6	Temperature C7	Average Temperature A15	Core 0 CycleCount	Core 0 Event 0x14	Core 0 Event 0x16	Core 0 Event 0x13	Core 0 Event 0x0f	Core 1 CycleCount	Core 1 Event 0x14	Core 1 Event 0x16	Core 1 Event 0x13	Core 1 Event 0x0f	Core 2 CycleCount	Core 2 Event 0x14	Core 2 Event 0x16	Core 2 Event 0x13	Core 2 Event 0x0f	Core 3 CycleCount	Core 3 Event 0x14	Core 3 Event 0x16	Core 3 Event 0x13	Core 3 Event 0x0f	Core 4 CycleCount	Core 4 Event 0x1b	Core 4 Event 0x50	Core 4 Event 0x6a	Core 4 Event 0x73	Core 4 Event 0x14	Core 4 Event 0x19	Core 5 CycleCount	Core 5 Event 0x1b	Core 5 Event 0x50	Core 5 Event 0x6a	Core 5 Event 0x73	Core 5 Event 0x14	Core 5 Event 0x19	Core 6 CycleCount	Core 6 Event 0x1b	Core 6 Event 0x50	Core 6 Event 0x6a	Core 6 Event 0x73	Core 6 Event 0x14	Core 6 Event 0x19	Core 7 CycleCount	Core 7 Event 0x1b	Core 7 Event 0x50	Core 7 Event 0x6a	Core 7 Event 0x73	Core 7 Event 0x14	Core 7 Event 0x19	Average Utilisation	Core 0 Utilisation	Core 1 Utilisation	Core 2 Utilisation	Core 3 Utilisation	Core 4 Utilisation	Core 5 Utilisation	Core 6 Utilisation	Core 7 Utilisation	A7 Average Utilisation	A15 Average Utilisation	Average A7 CycleCount	Average A7 Event 0x14	Average A7 Event 0x16	Average A7 Event 0x13	Average A7 Event 0x0f	Average A15 CycleCount	Average A15 Event 0x1b	Average A15 Event 0x50	Average A15 Event 0x6a	Average A15 Event 0x73	Average A15 Event 0x14	Average A15 Event 0x19
10	10	ispell	4,5,6,7	1000	200	30.280871	-1	141		1.08	0.916453900709	0.0655659574468	0.161244177305	1.21124113475	0.0301374113475	0.990203900709	0.0978716808511	45.8794326241	46.0	47.9929078014	45.0	46.2180851064	20312603.4427	3922467.72104	348005.02248	2791213.31349	27.3347921353	5784951.45716	1052973.67842	98145.09613	728873.933298	26.3826119389	2385182.99266	366206.578482	37776.5258545	260194.817429	13.5672028272	1194744.66341	184955.229679	18955.9188838	131140.967379	6.14061468821	165098760.628	189630087.838	1730332.31592	1728075.81781	94867273.1937	56782285.8964	89332.7191022	19394731.4582	20207294.7937	211408.297825	193204.6948	10150036.1672	6158112.64068	35031.5735123	15103977.2504	15429146.9749	159553.451795	152755.947162	7765641.29458	4711891.12963	29210.5517765	14698037.0167	9226377.9953	240003.095647	77291.8299397	4847259.77574	4130175.07872	57075.9109664	12.9129492288	0.519165938028	0.149609784795	0.0329869701468	0.0230908791028	82.4015085843	9.17341807877	5.41470324829	5.30738961294	0.181213393018	25.5742548811	7419370.63899	1381650.80191	125720.640837	977855.757898	18.3563053974	53573876.5883	58623226.9005	585324.290298	537832.072427	29407552.6078	17945616.1864	52662.6888394
11	11	stringsearch	4,5,6,7	1000	200	30.279339	-1	131		1.08	0.916879770992	0.0676690076336	0.106264221374	1.21096374046	0.0301492290076	0.990305343511	0.0971270763359	45.0	45.4732824427	47.0534351145	44.9618320611	45.6221374046	39184724.9311	7141330.81841	646990.741515	5214046.73751	77.6134755095	19789684.8918	2882496.76264	287736.933382	2092518.60278	118.355786717	6283695.09679	802192.637671	89866.9372756	591419.504422	61.4556569568	4968906.76163	550134.510524	65940.0943343	412474.639203	67.7323566063	7043779.50802	4291031.75104	114083.585109	31920.6183837	2206876.80452	1698711.45586	36549.1469735	21921264.7237	18188363.6858	254601.810586	108949.785114	9046651.0405	5797368.01485	107674.505714	6643520.14775	4301651.21484	95901.6084763	30594.7805825	2192575.78904	1593396.85563	26434.3835473	17951955.5949	11689250.1094	298296.583151	95024.7804727	6095921.96767	5035232.81854	64017.5709131	3.1100178792	1.3603273549	0.966201634777	0.241620222647	0.301862723612	3.3717334518	9.59820876746	2.16460498573	6.92401072272	0.717502983984	5.51463948193	17556752.9203	2844038.68231	272633.676627	2077614.87098	81.2893189473	13390129.9936	9617574.19025	190720.896831	66622.4911382	4885506.40043	3531177.28622	58668.901787
12	12	adpcm_c	4,5,6,7	1000	200	30.280499	-1	139		1.08	0.916897482014	0.0668823021583	0.149607345324	1.21117805755	0.0329133669065	0.990314748201	0.0970945539568	45.6258992806	45.9424460432	47.1007194245	44.9928057554	45.9154676259	39705150.4024	6714945.27166	565280.215786	4812041.4783	18.7473840437	7803959.37606	1388360.91324	111314.051587	930707.604209	36.3900189986	6020695.09909	945239.046723	81727.9663869	640222.970567	27.9250026996	2984203.64567	456705.223297	38479.6630081	310280.747229	15.663471329	142269029.508	167662302.358	1857121.10987	466247.263039	121299329.935	46898700.4842	693894.626105	34523133.2486	38102456.061	430968.213567	109326.716639	27392141.4338	10629268.1811	127674.981029	4257924.81137	1304571.22117	35475.1174659	10177.0376053	683658.993928	555415.282745	15812.841186	16027839.8726	9069186.6393	249021.402797	76135.8612372	4768597.4112	4069529.19399	122612.604624	11.9338652513	1.84576615303	0.26160200088	0.23143780459	0.130559066083	70.9284197838	15.7736070117	0.89119174583	5.0846307607	0.617341256145	23.1694623255	14128502.1308	2376312.61373	199200.474192	1673313.20008	24.6814692677	49269481.8602	54034629.0697	643146.460926	165471.71963	38535931.9436	15538228.2855	239998.763236
13	13	adpcm_d	4,5,6,7	1000	200	30.277248	-1	137		1.08	0.916751824818	0.0677719708029	0.139752715328	1.21122262774	0.0331475912409	0.990319343066	0.0970450364964	45.2335766423	45.598540146	47.0072992701	44.9416058394	45.6952554745	50855276.1921	10059171.7578	770442.532321	7100804.89114	28.6672949446	7770373.6687	1481218.51655	107578.570375	973887.089235	35.2530259465	6093866.65201	1144589.86504	77541.2864421	750009.454764	12.1356727984	5616536.15873	1136205.60374	62743.7268523	714114.510637	8.55083380707	126639740.579	116814053.24	1892524.16622	502406.915573	76923796.5846	37594502.7513	994222.680177	21560324.936	17836266.2985	282647.63274	74664.4951678	11775186.972	5690207.52503	81859.8642533	3780685.40949	765884.817501	21781.638375	6211.12394496	409753.409564	334164.354446	8714.17175377	16144611.1345	9075741.36385	241498.9011	76056.0045097	4772695.36985	4070875.4071	103071.645364	10.0328145294	1.79177443216	0.258058306319	0.306662826275	0.301858560364	62.1484449952	9.45741592447	0.711203096914	5.0654340748	0.664588531278	19.3456245229	17584013.1679	3455296.43579	254576.528998	2384703.98644	21.1517068742	42031340.5149	36122986.4299	609613.084609	164834.634799	23470358.084	11922437.5095	296967.090387
14	14	fft	4,5,6,7	1000	200	30.278322	-1	141		1.08	0.916595744681	0.0660025531915	0.156168390071	1.21092198582	0.0292637304965	0.990026595745	0.0970150638298	45.1276595745	45.6028368794	47.0638297872	44.5673758865	45.5904255319	26638201.0953	5224164.77771	436747.389499	3699976.76952	37.5893934884	5737504.41064	1033138.59292	93850.4110946	704753.494361	24.9539050006	2621436.10012	425230.894753	43049.4005976	301315.736838	12.8961974772	4444517.221	782864.797997	63742.8390005	529831.106664	24.953656315	113633452.74	147126333.081	420975.907516	806877.850235	77569529.0384	43626035.6978	107383.209019	67259482.3522	55549467.1623	128605.358398	316136.251368	22308212.5237	20351324.1106	45042.7424239	15901664.6447	15905503.0776	61643.2990356	89783.3363829	7653469.32598	5217741.56472	42554.555963	14209936.5421	9102306.27245	234575.332874	76395.9396854	4787005.51921	4089824.55412	49971.0858726	12.9428751533	0.866925791532	0.207103383137	0.0659739402936	0.209945606708	56.7257422649	33.6597314862	6.6911806178	4.9942494771	0.337487180418	25.5177259615	9860414.70677	1866349.76585	159347.510048	1308969.27685	25.0982880703	52751134.0698	56920902.3984	211449.974456	322298.344418	28079554.1018	18321231.4818	61237.8983195
15	15	h264_hq	4,5,6,7	1000	200	30.283978	-1	140		1.08	0.916294642857	0.0655482857143	0.175207071429	1.21125	0.0447897	0.990017857143	0.0970214	45.75	45.8642857143	47.0571428571	45.0	45.9178571429	22314363.38	3944402.41266	363602.74273	2847777.87375	32.1446833982	5209355.12487	1007903.71854	87892.2389943	685800.551036	10.091110692	1733352.37551	277768.239523	27291.6323026	197415.002768	6.56924173952	1639106.32117	246176.86954	25933.8387669	176157.831334	2.53135013233	191749603.294	224409854.703	2979927.15183	570248.707738	97758008.6604	65023809.4906	2731078.44094	12253086.3822	11144573.6742	119986.353956	42090.3942918	4796343.93074	3635701.31371	89817.0698296	12869991.4326	14785086.9065	65006.4973798	82434.5185674	7788048.2917	4474437.15981	40647.7807776	15588884.8656	9596904.20651	283021.073477	79786.5510121	5023152.69593	4307800.90395	231521.331829	14.1164655503	0.703344332536	0.0996677740864	0.0661851282008	0.0330687830688	95.4869843086	5.07358433122	5.78110402074	5.28520284114	0.225566504473	27.9067188754	7724044.30038	1369062.81007	126180.113198	976787.814723	12.8340964905	58115391.4936	64984104.8726	861985.26916	193640.042902	28841388.3947	19360437.217	773266.155844
16	16	h264_lq	4,5,6,7	1000	200	30.28462	-1	141		1.08	0.916338652482	0.065405106383	0.170114751773	1.21125	0.044076964539	0.99	0.0970129787234	45.3758865248	45.7234042553	47.0567375887	44.9290780142	45.7712765957	18149070.4591	3408213.17803	300611.40461	2425232.14571	10.2929267063	4933098.93896	945766.273518	84534.8288991	645203.163048	19.4327345715	2485379.18515	384186.836942	39288.5089452	272203.350854	64.0728125684	3180117.37743	502485.346674	53980.1580222	359206.598634	17.629175214	153850227.411	181436564.854	2433884.22586	505798.425026	77670312.0592	50301906.5253	2456714.96673	35256931.8073	40283731.3354	551286.9989	120158.090157	17501842.8221	11248135.4373	535122.481912	13013863.6515	12361453.7243	234208.212802	42506.6491493	5591468.73817	3722949.31674	185814.060601	14796336.4497	9054845.02533	266287.266901	75645.631876	4760683.37937	4067458.36269	248535.255276	13.1634188159	0.412142554426	0.0758700313377	0.0693959530845	0.0754733882165	76.4150456419	17.3075461776	5.58465371802	5.02156137066	0.158220481766	26.0822017271	7186916.49017	1310162.90879	119603.725119	925461.314562	27.856912265	54229339.8298	60784148.7348	871416.676115	186027.199052	26381076.7497	17335112.4105	856546.691129
17	17	mpeg4_hq	4,5,6,7	1000	200	30.280487	-1	139		1.08	0.917113309353	0.0650330935252	0.131482683453	1.21125	0.0395883741007	0.990215827338	0.0968374820144	45.0	45.035971223	47.0431654676	44.1007194245	45.2949640288	17868211.5421	3336852.02558	305842.571332	2394609.17313	26.210927819	5258719.69763	1025764.78339	90469.3554509	698505.012398	13.4636017186	2048417.74263	342675.644415	34273.161961	244631.630976	8.88799955554	1454469.55279	220755.206958	23416.3697494	158635.007729	2.25147263929	76696919.4442	81936386.1873	2282139.20625	524907.755076	29278944.8492	23757343.6753	2188354.01066	3386318.79958	2569281.11731	54283.9942246	15675.8564311	1061289.3471	848515.235319	58839.7912169	15630700.5671	15426368.1185	456127.081385	96357.777924	5775207.69857	4624824.21955	382356.516253	14409285.1083	9145648.68057	250740.091463	76880.1933235	4804648.04997	4107166.64058	146489.91232	6.59345949734	0.418112033484	0.185996453436	0.0500529808712	0.0528930426031	38.2331249865	1.39430726834	6.59926134294	6.1555413246	0.176763627598	13.0955587306	6657454.63379	1231511.91509	113500.364623	874095.206059	12.7035004331	27530805.9798	27269421.0259	760822.59333	178455.395689	10230022.4862	8334462.4427	694010.057613
18	18	mpeg4_lq	4,5,6,7	1000	200	30.281141	-1	139		1.08	0.916798561151	0.0646523741007	0.128255755396	1.21126798561	0.0376025035971	0.990287769784	0.096336647482	44.7841726619	45.0	47.0	44.0071942446	45.1978417266	16164014.6102	3264633.14606	286851.839201	2305804.95329	27.0865126988	4852867.77154	958546.037314	84389.2758893	652092.707873	14.4689132672	2524197.30367	398232.698759	40678.8846591	282438.576195	68.2041878432	2033630.80564	339924.951886	35296.7987959	243530.243572	7.24657234751	48224246.8976	52266889.0736	1402234.3488	328227.373258	19009073.9813	14924280.9017	1090249.19442	35119457.3072	38122210.244	1023148.50281	249153.849774	13723361.467	10957763.138	780181.499614	1956528.35692	898575.796767	26154.9571907	7050.45694985	467575.177551	387401.282862	16809.4497871	15461200.3069	9834312.28021	279638.009127	81328.3134939	5128233.79282	4398800.4967	169449.220955	5.85630949513	0.362960186385	0.138130283192	0.080217516128	0.0331532009416	23.1009119203	16.8351418666	0.518102614786	6.09187365333	0.153615296662	11.6365075137	6393677.62277	1240334.20851	111804.199636	870966.620232	29.2515465391	25190358.2171	25280496.8486	682793.954482	166439.998369	9582061.10468	7667061.45482	514172.341194
19	19	jpg2000enc	4,5,6,7	1000	200	30.279534	-1	140		1.08	0.9165625	0.0663274285714	0.175959957143	1.21177678571	0.0391564571429	0.990080357143	0.0967010142857	45.1285714286	45.0785714286	47.0	44.0571428571	45.3160714286	41484006.6822	5576095.65415	545119.871183	4141078.10586	11.4067337956	5571168.28228	963034.202992	85902.4752283	654518.510661	16.0363182009	2643897.02639	378872.315285	38051.3383071	268477.070649	16.4814407614	3486904.16912	464489.835703	49145.0700215	330616.734282	13.9309916512	198584848.456	349828769.408	2787513.73693	246610.286817	168686020.019	70582007.8871	4372748.97474	2600476.05696	594011.640104	17204.0937965	4148.09618878	308634.048066	257801.76639	8981.16452074	2761475.06912	655936.150873	21865.9901501	5341.21536815	348378.039631	290964.573254	14774.7813125	15623512.1104	9198077.48923	260143.795646	77077.1311595	4833685.20323	4125621.58796	199613.251031	13.5497675007	2.44765644389	0.0530023378861	0.0801085583267	0.0993601574997	97.8170894526	0.981550937902	1.54150148256	4.96703366728	0.670031874401	26.3267938851	13296494.04	1845623.00203	179554.688685	1348672.60536	14.4638711023	54892577.9231	90069198.6721	771681.904132	83294.1823834	43544179.3275	18814098.9537	1149029.5429
